월,출발건수,도착건수,총이용건수,평균기온,누적강수량,평균습도,평균풍속,최대적설
1,45654,45684,91338,0.4602230710466004,780.9,58.69559434682964,2.235665393430099,2.9
2,66740,65223,131963,-0.1985310766767683,619.1,52.45766653324947,2.801060094916805,3.3
3,126870,124049,250919,8.995587142326272,1924.4,52.83917224080268,2.845039947974731,8.9
4,166050,166655,332705,14.62482503025413,5575.2,55.49332392093586,2.677590762404195,0.6
5,165078,164114,329192,18.6919524321419,10728.3,62.62267446027054,2.470166173967571,0.0
6,161720,159536,321256,24.56416038023809,9027.3,65.30688135001962,2.381876335411852,0.0
7,126826,124718,251544,29.41747286248787,21769.3,69.02721049471107,2.302540994965125,0.0
8,137808,134185,271993,28.71867334221497,27680.6,73.22388714598821,2.364949933387769,0.0
9,177706,173594,351300,23.86414680412371,38651.6,72.5487575257732,2.013673402061856,0.0
10,153910,149827,303737,16.75410810120113,11270.3,71.5265584802794,2.229685237243377,0.0
11,132456,128459,260915,9.64959402335412,3538.7,58.57428661114134,2.17658686644624,0.0
12,76122,75675,151797,1.875559900288382,3587.9,59.0739742900435,2.411996676279388,5.1
